penalty,n_changepoints,changepoints,changepoint_dates,bic,mbic,sigma_sq,n_segments
1,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
2,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
3,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
4,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
5,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
10,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
20,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
50,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
100,0,[],[],84.64360039934455,89.038049554017,9515.795914865485,1
