date1,date2,time_delta_days,n_stable_total,n_stable_success,n_stable_valid,valid_fraction,stable_corr_median,stable_corr_q25,stable_corr_q75,stable_saturated_fraction,bias_mean_E_m,bias_mean_N_m,plane_E_a_m,plane_E_b_m_per_px,plane_E_c_m_per_px,plane_N_a_m,plane_N_b_m_per_px,plane_N_c_m_per_px,resid_nmad_E_m,resid_nmad_N_m,resid_std_E_m,resid_std_N_m,glacier_corr,glacier_dE_m_raw,glacier_dN_m_raw,glacier_speed_m_per_day_raw,bias_E_at_glacier_m,bias_N_at_glacier_m,glacier_dE_m_debiased,glacier_dN_m_debiased,glacier_speed_m_per_day_debiased,glacier_speed_sigma_m_per_day,vindex_m_per_day_raw,vindex_m_per_day_debiased,vindex_sigma_m_per_day,vindex_sample_n,vindex_corr_median,stable_ground_status,global_shift_row_px,global_shift_col_px,phasecorr_response,orbit_track,vindex_omega_base,vindex_omega_narrow,vindex_omega_wide,omega_valid_fraction,omega_corr_iqr
2025-09-07,2025-09-19,12.0,248,248,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,7028.409461118493,9040.041351507934,954.2335754929237,,,,,,,,,,0,,insufficient_non_saturated_ties,1024,1024,0.0,Orbit1_0122UTC,,,,,
2025-09-19,2025-10-01,12.0,248,248,99,0.39919354838709675,0.7733132296707481,0.7579354201443493,0.8000414640991949,0.0,-139.9462060842179,-0.30303168917631884,-139.9462060842178,-1.303036126640458e-17,-4.4654037702332366e-17,-0.30303168917631884,-0.0004561238345982293,0.0008875505718008024,0.0,0.4094111099650808,1.8623138198778115e-14,1.6686819873829875,0.48439541459083557,-139.9462060842179,0.0,11.66218384035149,-139.9462060842178,-0.33353810195975203,-8.526512829121202e-14,0.33353810195975203,0.027794841829979336,0.034117592497090066,11.66218384035149,0.030800615467055238,0.034117592497090066,38,0.47061802446842194,ok,0,-17,0.9605482635670342,Orbit1_0122UTC,0.030800615467055238,0.03076260514750538,0.030729740056579632,1.0,0.007511310279369354
2025-10-01,2025-10-13,12.0,248,248,99,0.39919354838709675,0.7964488157304004,0.7813348976196721,0.8205009792000055,0.0,233.24367680702974,0.0,233.24367680702977,2.406388480467345e-18,1.369565115750346e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554763913154602,233.2436768070298,0.0,19.436973067252485,233.24367680702977,0.0,2.842170943040401e-14,0.0,2.3684757858670005e-15,0.0,19.436973067252485,2.3684757858670005e-15,0.0,40,0.48844511806964874,ok,0,30,0.9850849997019395,Orbit1_0122UTC,2.3684757858670005e-15,2.3684757858670005e-15,2.3684757858670005e-15,1.0,0.005852103233337402
2025-10-13,2025-10-25,12.0,248,248,99,0.39919354838709675,0.8603654074249789,0.8462468069919851,0.8796799187839497,0.0,-85.52268149591093,0.0,-85.52268149591094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6888313293457031,-85.52268149591093,0.0,7.126890124659244,-85.52268149591094,0.0,1.4210854715202004e-14,0.0,1.1842378929335002e-15,0.0,7.126890124659244,1.1842378929335002e-15,0.0,37,0.6294612884521484,ok,0,-10,0.9981888325419277,Orbit1_0122UTC,1.1842378929335002e-15,1.1842378929335002e-15,1.1842378929335002e-15,1.0,0.005375087261199951
