date1,date2,orbit_track,glacier_speed_m_per_day_debiased,glacier_speed_sigma_m_per_day,glacier_corr,stable_ground_status,valid_fraction,stable_corr_median,stable_saturated_fraction
2025-09-07,2025-09-19,Orbit1_0122UTC,,,1.0,insufficient_non_saturated_ties,0.0,0.0,1.0
2025-09-13,2025-09-25,Orbit2_1314UTC,0.0058169269514157,0.0108404962748414,0.6590293049812317,ok,0.3951612903225806,0.8099971130723134,0.0161290322580645
2025-09-19,2025-10-01,Orbit1_0122UTC,0.0277948418299793,0.03411759249709,0.4843954145908355,ok,0.3991935483870967,0.7733132296707481,0.0
2025-09-25,2025-10-07,Orbit2_1314UTC,0.2010763202107764,0.1733273609120727,0.5939837098121643,ok,0.3911290322580645,0.7978768898174167,0.0201612903225806
2025-10-01,2025-10-13,Orbit1_0122UTC,2.3684757858670005e-15,0.0,0.554763913154602,ok,0.3991935483870967,0.7964488157304004,0.0
2025-10-07,2025-10-19,Orbit2_1314UTC,0.0470201717797969,0.0223800565315076,0.6299656629562378,ok,0.3951612903225806,0.8125928969529923,0.0161290322580645
2025-10-13,2025-10-25,Orbit1_0122UTC,1.1842378929335002e-15,0.0,0.6888313293457031,ok,0.3991935483870967,0.8603654074249789,0.0
2025-10-19,2025-10-31,Orbit2_1314UTC,0.0196865721939507,0.0171328984207256,0.4576460123062134,ok,0.3951612903225806,0.7612141413264908,0.0161290322580645
