date,scene,s_along_flow_m,E_m_utm42n,N_m_utm42n,cumulative_advance_m
2025-09-13,20250913_062702_66_2516_3B_AnalyticMS_SR_clip.tif,3993.0,652036.9613563602,4322567.699549451,0.0
2025-09-17,20250917_064330_29_24b7_coreg_to_sep13.tif,3990.0,652038.4260602022,4322570.3176867,-3.0
2025-10-25,20251025_062608_36_251d_3B_AnalyticMS_SR.tif,4125.0,651972.5143873176,4322452.501510486,132.0
