date1,date2,time_delta_days,n_stable_total,n_stable_success,n_stable_valid,valid_fraction,stable_corr_median,stable_corr_q25,stable_corr_q75,stable_saturated_fraction,bias_mean_E_m,bias_mean_N_m,plane_E_a_m,plane_E_b_m_per_px,plane_E_c_m_per_px,plane_N_a_m,plane_N_b_m_per_px,plane_N_c_m_per_px,resid_nmad_E_m,resid_nmad_N_m,resid_std_E_m,resid_std_N_m,glacier_corr,glacier_dE_m_raw,glacier_dN_m_raw,glacier_speed_m_per_day_raw,bias_E_at_glacier_m,bias_N_at_glacier_m,glacier_dE_m_debiased,glacier_dN_m_debiased,glacier_speed_m_per_day_debiased,glacier_speed_sigma_m_per_day,vindex_m_per_day_raw,vindex_m_per_day_debiased,vindex_sigma_m_per_day,vindex_sample_n,vindex_corr_median,stable_ground_status,global_shift_row_px,global_shift_col_px,phasecorr_response,vindex_omega_base,vindex_omega_narrow,vindex_omega_wide,omega_valid_fraction,omega_corr_iqr
2025-09-07,2025-09-13,6.0,248,248,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,7028.409461118493,9040.041351507934,1908.4671509858474,,,,,,,,,,0,,insufficient_non_saturated_ties,1024,1024,0.0,,,,,
2025-09-13,2025-09-19,6.0,248,248,97,0.3911290322580645,0.03916503279469907,0.032836036989465356,0.049474650993943214,0.024193548387096774,-79.03033172911715,-45.257938980384765,-79.03033172911717,0.019463369143723125,0.11000640490532165,-45.25793898038478,0.048820548932246646,0.22167756606992922,261.11528670184646,224.14001051910535,247.6775850521817,307.3392022887563,0.0810207724571228,256.56804448773227,-690.0031562544766,122.69333010638519,-78.58534659237436,-44.42031464852618,335.15339108010664,-645.5828416059504,121.23267355339078,38.747001890500336,166.82746068447634,156.7084490320035,38.747001890500336,29,0.07146739214658737,ok,-3,-10,0.03763530636206269,156.7084490320035,156.73853903139485,111.1404273053564,0.8055555555555556,0.0024016425013542175
2025-09-19,2025-09-25,6.0,248,248,99,0.39919354838709675,0.03887926915194839,0.031806898914510384,0.04997247428400442,0.008064516129032258,-151.2549904142557,2726.7801497715755,-151.25499041425567,0.10052245747952306,-0.020326551065846216,2726.780149771576,0.0003124137758529419,0.11497319600595236,200.14903681307217,304.5025756541068,230.15858110748243,307.7451156840512,0.0709015503525734,723.0553981017923,2920.013356903008,501.3672171953661,-147.93843087003322,2727.5643383351276,870.9938289718256,192.44901856788056,148.6669352440345,34.36363997169051,444.0184625847689,96.11256501609246,34.36363997169051,20,0.06703537330031395,ok,269,-14,-0.008616157021606341,96.11256501609246,,94.93410537658504,0.5263157894736842,0.006017299368977547
2025-09-25,2025-10-01,6.0,248,248,97,0.3911290322580645,0.03539333294611424,0.028894817573018372,0.04621791437966749,0.028225806451612902,-1452.1222311728368,3287.2315315001138,-1452.1222311728366,-0.0324927194659253,-0.012635190407801367,3287.231531500115,-0.008635043805130693,0.2083817153678133,233.13838087986585,312.4678855698462,272.1599784411338,350.83426185340403,0.0769907757639885,-863.0016041860093,3140.014363245012,542.7415481253128,-1451.3990693675316,3283.7084488302207,588.3974651815223,-143.69408558520854,100.94822205030134,39.71760991574262,728.3924876272918,177.651797261139,39.71760991574262,39,0.07303858548402786,ok,332,-187,0.015577576123178005,177.651797261139,177.61739964746667,177.62618544568682,1.0,0.002550411969423294
2025-10-01,2025-10-07,6.0,248,248,99,0.39919354838709675,0.039329780731350183,0.03134554796270095,0.05080353867379017,0.008064516129032258,2899.9178484095564,3443.8541369258046,2899.9178484095555,-0.04123764688570132,-0.03190829603637243,3443.8541369258046,-0.06367479360764818,0.07898921666951265,271.8777371437934,380.0592742970608,244.75818816102202,356.03275841184285,0.07088147103786469,2153.6166158515753,3070.014043045286,625.0122388261079,2897.413299578331,3442.0156968166543,-743.7966837267559,-372.0016537713682,138.6060301249104,49.44954871782226,738.7546664402322,96.97218999206338,49.44954871782226,40,0.0705191157758236,ok,347,375,0.035256868752185255,96.97218999206338,96.96690458644268,112.89438999922325,1.0,0.0036008190363645554
2025-10-07,2025-10-13,6.0,248,248,97,0.3911290322580645,0.03921227471437305,0.03101440635509789,0.05448296415852383,0.020161290322580645,-2755.0807226419333,4157.338604380404,-2755.0807226419347,0.09112465836892095,-0.12004817252576871,4157.338604380407,0.05275746975940281,-0.039220355175511964,241.91881112620558,355.2475412942663,256.9113882251471,373.7649927605391,0.08083284646272659,-2511.256920289018,3130.014317502194,668.8173838838431,-2757.2427151194875,4156.680376248165,245.98579483046933,-1026.666058745971,175.9539244801954,58.33968574744002,784.319012477907,158.39524242132555,58.33968574744002,40,0.08470730111002922,ok,412,-353,0.010248520993627608,158.39524242132555,158.41828105734405,78.64287646376562,1.0,0.002084532752633095
2025-10-13,2025-10-19,6.0,248,248,99,0.39919354838709675,0.03474613092839718,0.02958087547449395,0.04518094228114933,0.008064516129032258,2006.052686989485,3673.754178447572,2006.0526869894848,0.06445314716543529,0.04833054060443255,3673.754178447572,-0.07897290528251638,-0.06517273048315553,220.68265561078874,357.5169073607938,248.66401573160664,313.66365876490806,0.0771089717745781,1865.9494144562384,4290.019623669145,779.7085564629606,2010.4796204576212,3668.025261867971,-144.5302060013828,621.9943618011744,106.42759230774544,58.63382558474984,675.0309052062294,72.5748835911361,58.63382558474984,37,0.07098504155874252,ok,374,262,0.055432499560993165,72.5748835911361,88.41790514170083,104.52004802629102,1.0,0.0032961517572402954
2025-10-19,2025-10-25,6.0,248,248,95,0.38306451612903225,0.039450833573937416,0.0314834434830118,0.050602172399521805,0.04032258064516129,2180.050899223037,1596.7441460296216,2180.050899223037,0.022172101988179475,-0.026355261983356783,1596.744146029621,0.11705939979888921,0.04666420145729042,240.81543048128952,330.6523203685365,244.45530116074679,341.4884813815163,0.08639202266931534,1453.8855854304848,2400.010978276443,467.67260602577977,2178.9498887925556,1589.816419116509,-725.0643033620709,810.194559159934,181.2099356258037,49.018005319193556,520.7073066224955,160.14412019019963,49.018005319193556,37,0.09085255861282349,ok,160,275,0.05612756358459592,160.14412019019963,160.1570475832676,160.10903218571391,1.0,0.003481954336166382
2025-10-25,2025-10-31,6.0,247,247,98,0.3967611336032389,0.0392689976724796,0.031207928172079846,0.04879016286577098,0.012145748987854251,618.809754794159,1726.6405511656299,618.8097547941591,-0.05416987672966627,0.08312805873325224,1726.6405511656299,-0.1253516315480609,0.11581869383274372,279.8322029754213,341.5305990113045,247.69189220302073,313.62419455067885,0.0861641988158226,474.26214284095937,990.0045285390308,182.95669999725553,624.3357935808795,1734.9494863190125,-150.07365073992008,-744.9449577799817,126.65187312386684,56.555759051188545,338.1749990132162,43.15657503730128,56.555759051188545,40,0.0788363665342331,ok,172,75,-0.006046641938155517,43.15657503730128,43.15657705582956,43.11095028540196,1.0,0.0024477019906044006
