date1,date2,date,velocity_m_per_day,displacement_m,dx_m,dy_m,row_offset_px,col_offset_px,correlation,time_delta_days
2025-09-07,2025-09-13,2025-09-13,422.2272457933291,2533.3634747599745,-1554.9578453801976,-2000.0091485637024,-200,-200,0.0,6.0
2025-09-13,2025-09-19,2025-09-19,242.16249709835006,1452.9749825901004,-388.7394613450489,1400.0064039945903,140,-50,0.5322847414421961,6.0
2025-09-19,2025-09-25,2025-09-25,414.4000294907377,2486.400176944426,1477.2099531111887,-2000.0091485637042,-200,190,0.5261579422259139,6.0
2025-09-25,2025-10-01,2025-10-01,261.8115859522124,1570.8695157132745,-466.4873536140591,1500.0068614227766,150,-60,0.5326879048636182,6.0
2025-10-01,2025-10-07,2025-10-07,123.17493093694499,739.04958562167,-544.2352458830695,-500.00228714092606,-50,-70,0.5237429032822998,6.0
2025-10-07,2025-10-13,2025-10-13,236.5504728850066,1419.3028373100396,-233.24367680702954,1400.0064039945914,140,-30,0.35288490637579917,6.0
2025-10-13,2025-10-19,2025-10-19,165.11066929749973,990.6640157849984,-855.2268149591092,-500.00228714092606,-50,-110,0.6181225976419745,6.0
2025-10-19,2025-10-25,2025-10-25,239.02194734551077,1434.1316840730647,-310.9915690760395,1400.0064039945917,140,-40,0.5519180982931499,6.0
2025-10-25,2025-10-31,2025-10-31,348.72433526176195,2092.3460115705716,-1554.9578453801946,-1400.006403994589,-140,-200,0.5793958903585453,6.0
